cgr,aa,bb,cc,va,dd,hh,ss
XNF,0.6296,0.6296,0.6296,0.6296,0.6296,0.6296,0.6296
0RK,0.6327,0.6327,0.6327,0.6327,0.6327,0.6327,0.6327
0T9,0.6359,0.6359,0.6359,0.6359,0.6359,0.6359,0.6359
BLC,0.6391,0.6391,0.6391,0.6391,0.6391,0.6391,0.6391
HFG,0.6422,0.6422,0.6422,0.6422,0.6422,0.6422,0.6422
ZWZ,0.6454,0.6454,0.6454,0.6454,0.6454,0.6454,0.6454
QCC,0.6487,0.6487,0.6487,0.6487,0.6487,0.6487,0.6487
KC1,0.6519,0.6519,0.6519,0.6519,0.6519,0.6519,0.6519
NEQ,0.6552,0.6552,0.6552,0.6552,0.6552,0.6552,0.6552
05B,0.6584,0.6584,0.6584,0.6584,0.6584,0.6584,0.6584
HQE,0.6617,0.6617,0.6617,0.6617,0.6617,0.6617,0.6617
84J,0.6650,0.6650,0.6650,0.6650,0.6650,0.6650,0.6650
KL5,0.6683,0.6683,0.6683,0.6683,0.6683,0.6683,0.6683
4ZO,0.6717,0.6717,0.6717,0.6717,0.6717,0.6717,0.6717
SJ9,0.6750,0.6750,0.6750,0.6750,0.6750,0.6750,0.6750
22B,0.6784,0.6784,0.6784,0.6784,0.6784,0.6784,0.6784
ESF,0.6818,0.6818,0.6818,0.6818,0.6818,0.6818,0.6818
W3D,0.6852,0.6852,0.6852,0.6852,0.6852,0.6852,0.6852
R7N,0.6886,0.6886,0.6886,0.6886,0.6886,0.6886,0.6886
NLV,0.6920,0.6920,0.6920,0.6920,0.6920,0.6920,0.6920
YGP,0.6955,0.6955,0.6955,0.6955,0.6955,0.6955,0.6955
EF0,0.6989,0.6989,0.6989,0.6989,0.6989,0.6989,0.6989
J7L,0.7024,0.7024,0.7024,0.7024,0.7024,0.7024,0.7024
BL1,0.7059,0.7059,0.7059,0.7059,0.7059,0.7059,0.7059
EOJ,0.7094,0.7094,0.7094,0.7094,0.7094,0.7094,0.7094
EF5,0.7130,0.7130,0.7130,0.7130,0.7130,0.7130,0.7130
RYW,0.7165,0.7165,0.7165,0.7165,0.7165,0.7165,0.7165
BL2,0.7201,0.7201,0.7201,0.7201,0.7201,0.7201,0.7201
1A2,0.7237,0.7237,0.7237,0.7237,0.7237,0.7237,0.7237
VG9,0.7273,0.7273,0.7273,0.7273,0.7273,0.7273,0.7273
9PO,0.7309,0.7309,0.7309,0.7309,0.7309,0.7309,0.7309
M2J,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346
81M,0.7382,0.7382,0.7382,0.7382,0.7382,0.7382,0.7382
YK4,0.7419,0.7419,0.7419,0.7419,0.7419,0.7419,0.7419
EXI,0.7456,0.7456,0.7456,0.7456,0.7456,0.7456,0.7456
4RQ,0.7493,0.7493,0.7493,0.7493,0.7493,0.7493,0.7493
OY9,0.7531,0.7531,0.7531,0.7531,0.7531,0.7531,0.7531
OSD,0.7568,0.7568,0.7568,0.7568,0.7568,0.7568,0.7568
OY7,0.7606,0.7606,0.7606,0.7606,0.7606,0.7606,0.7606
91M,0.7644,0.7644,0.7644,0.7644,0.7644,0.7644,0.7644
B66,0.7682,0.7682,0.7682,0.7682,0.7682,0.7682,0.7682
Z54,0.7720,0.7720,0.7720,0.7720,0.7720,0.7720,0.7720
2QW,0.7759,0.7759,0.7759,0.7759,0.7759,0.7759,0.7759
3BZ,0.7798,0.7798,0.7798,0.7798,0.7798,0.7798,0.7798
F04,0.7837,0.7837,0.7837,0.7837,0.7837,0.7837,0.7837
3L0,0.7876,0.7876,0.7876,0.7876,0.7876,0.7876,0.7876
PCC,0.7915,0.7915,0.7915,0.7915,0.7915,0.7915,0.7915
UV7,0.7954,0.7954,0.7954,0.7954,0.7954,0.7954,0.7954
5U0,0.7994,0.7994,0.7994,0.7994,0.7994,0.7994,0.7994
GKI,0.8034,0.8034,0.8034,0.8034,0.8034,0.8034,0.8034
ZV6,0.8074,0.8074,0.8074,0.8074,0.8074,0.8074,0.8074
PBM,0.8114,0.8114,0.8114,0.8114,0.8114,0.8114,0.8114
JRA,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155
RD1,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195,0.8195
NE5,0.8236,0.8236,0.8236,0.8236,0.8236,0.8236,0.8236
O4R,0.8277,0.8277,0.8277,0.8277,0.8277,0.8277,0.8277
6P7,0.8319,0.8319,0.8319,0.8319,0.8319,0.8319,0.8319
DSC,0.8360,0.8360,0.8360,0.8360,0.8360,0.8360,0.8360
INZ,0.8402,0.8402,0.8402,0.8402,0.8402,0.8402,0.8402
1NJ,0.8444,0.8444,0.8444,0.8444,0.8444,0.8444,0.8444
N9O,0.8486,0.8486,0.8486,0.8486,0.8486,0.8486,0.8486
LRC,0.8528,0.8528,0.8528,0.8528,0.8528,0.8528,0.8528
GLN,0.8571,0.8571,0.8571,0.8571,0.8571,0.8571,0.8571
5MQ,0.8613,0.8613,0.8613,0.8613,0.8613,0.8613,0.8613
0C3,0.8656,0.8656,0.8656,0.8656,0.8656,0.8656,0.8656
UHN,0.8700,0.8700,0.8700,0.8700,0.8700,0.8700,0.8700
GLE,0.8743,0.8743,0.8743,0.8743,0.8743,0.8743,0.8743
MXU,0.8787,0.8787,0.8787,0.8787,0.8787,0.8787,0.8787
AKF,0.8830,0.8830,0.8830,0.8830,0.8830,0.8830,0.8830
M3R,0.8874,0.8874,0.8874,0.8874,0.8874,0.8874,0.8874
Y5U,0.8919,0.8919,0.8919,0.8919,0.8919,0.8919,0.8919
3MQ,0.8963,0.8963,0.8963,0.8963,0.8963,0.8963,0.8963
BSK,0.9008,0.9008,0.9008,0.9008,0.9008,0.9008,0.9008
D7G,0.9053,0.9053,0.9053,0.9053,0.9053,0.9053,0.9053
JRZ,0.9098,0.9098,0.9098,0.9098,0.9098,0.9098,0.9098
LCA,0.9143,0.9143,0.9143,0.9143,0.9143,0.9143,0.9143
KG4,0.9189,0.9189,0.9189,0.9189,0.9189,0.9189,0.9189
LZA,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235
AUR,0.9281,0.9281,0.9281,0.9281,0.9281,0.9281,0.9281
QHK,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327,0.9327
3MY,0.9374,0.9374,0.9374,0.9374,0.9374,0.9374,0.9374
CBY,0.9420,0.9420,0.9420,0.9420,0.9420,0.9420,0.9420
R2I,0.9467,0.9467,0.9467,0.9467,0.9467,0.9467,0.9467
TBD,0.9515,0.9515,0.9515,0.9515,0.9515,0.9515,0.9515
Z2D,0.9562,0.9562,0.9562,0.9562,0.9562,0.9562,0.9562
MPY,0.9610,0.9610,0.9610,0.9610,0.9610,0.9610,0.9610
PUY,0.9658,0.9658,0.9658,0.9658,0.9658,0.9658,0.9658
QN5,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706,0.9706
KON,0.9754,0.9754,0.9754,0.9754,0.9754,0.9754,0.9754
0UZ,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803
XHO,0.9852,0.9852,0.9852,0.9852,0.9852,0.9852,0.9852
Z20,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901
XHZ,0.9950,0.9950,0.9950,0.9950,0.9950,0.9950,0.9950
FSI,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
7F7,1.0050,1.0050,1.0050,1.0050,1.0050,1.0050,1.0050
W5X,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100,1.0100
YNG,1.0150,1.0150,1.0150,1.0150,1.0150,1.0150,1.0150
ZHK,1.0201,1.0201,1.0201,1.0201,1.0201,1.0201,1.0201
YNT,1.0252,1.0252,1.0252,1.0252,1.0252,1.0252,1.0252
OUF,1.0303,1.0303,1.0303,1.0303,1.0303,1.0303,1.0303
146,1.0354,1.0354,1.0354,1.0354,1.0354,1.0354,1.0354
S0J,1.0406,1.0406,1.0406,1.0406,1.0406,1.0406,1.0406
DGY,1.0458,1.0458,1.0458,1.0458,1.0458,1.0458,1.0458
JDN,1.0510,1.0510,1.0510,1.0510,1.0510,1.0510,1.0510
3YN,1.0563,1.0563,1.0563,1.0563,1.0563,1.0563,1.0563
6NS,1.0615,1.0615,1.0615,1.0615,1.0615,1.0615,1.0615
BA2,1.0668,1.0668,1.0668,1.0668,1.0668,1.0668,1.0668
FKQ,1.0721,1.0721,1.0721,1.0721,1.0721,1.0721,1.0721
QLV,1.0775,1.0775,1.0775,1.0775,1.0775,1.0775,1.0775
4ZR,1.0829,1.0829,1.0829,1.0829,1.0829,1.0829,1.0829
7O9,1.0883,1.0883,1.0883,1.0883,1.0883,1.0883,1.0883
EKR,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937
1AC,1.0991,1.0991,1.0991,1.0991,1.0991,1.0991,1.0991
QMY,1.1046,1.1046,1.1046,1.1046,1.1046,1.1046,1.1046
23Q,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101,1.1101
IE8,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157,1.1157
I85,1.1212,1.1212,1.1212,1.1212,1.1212,1.1212,1.1212
2DQ,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268,1.1268
096,1.1324,1.1324,1.1324,1.1324,1.1324,1.1324,1.1324
1BV,1.1381,1.1381,1.1381,1.1381,1.1381,1.1381,1.1381
LIQ,1.1438,1.1438,1.1438,1.1438,1.1438,1.1438,1.1438
63W,1.1495,1.1495,1.1495,1.1495,1.1495,1.1495,1.1495
QB0,1.1552,1.1552,1.1552,1.1552,1.1552,1.1552,1.1552
NBP,1.1610,1.1610,1.1610,1.1610,1.1610,1.1610,1.1610
4PO,1.1668,1.1668,1.1668,1.1668,1.1668,1.1668,1.1668
AOU,1.1726,1.1726,1.1726,1.1726,1.1726,1.1726,1.1726
TP5,1.1784,1.1784,1.1784,1.1784,1.1784,1.1784,1.1784
GT0,1.1843,1.1843,1.1843,1.1843,1.1843,1.1843,1.1843
TP1,1.1902,1.1902,1.1902,1.1902,1.1902,1.1902,1.1902
5JO,1.1961,1.1961,1.1961,1.1961,1.1961,1.1961,1.1961
TPC,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021,1.2021
OLT,1.2081,1.2081,1.2081,1.2081,1.2081,1.2081,1.2081
93R,1.2141,1.2141,1.2141,1.2141,1.2141,1.2141,1.2141
T9R,1.2202,1.2202,1.2202,1.2202,1.2202,1.2202,1.2202
HRC,1.2263,1.2263,1.2263,1.2263,1.2263,1.2263,1.2263
9KU,1.2324,1.2324,1.2324,1.2324,1.2324,1.2324,1.2324
CZ8,1.2385,1.2385,1.2385,1.2385,1.2385,1.2385,1.2385
Q8Z,1.2447,1.2447,1.2447,1.2447,1.2447,1.2447,1.2447
JR0,1.2509,1.2509,1.2509,1.2509,1.2509,1.2509,1.2509
QTH,1.2572,1.2572,1.2572,1.2572,1.2572,1.2572,1.2572
8CF,1.2634,1.2634,1.2634,1.2634,1.2634,1.2634,1.2634
J7G,1.2697,1.2697,1.2697,1.2697,1.2697,1.2697,1.2697
RTA,1.2761,1.2761,1.2761,1.2761,1.2761,1.2761,1.2761
GG4,1.2824,1.2824,1.2824,1.2824,1.2824,1.2824,1.2824
UGE,1.2888,1.2888,1.2888,1.2888,1.2888,1.2888,1.2888
DFY,1.2953,1.2953,1.2953,1.2953,1.2953,1.2953,1.2953
EN6,1.3017,1.3017,1.3017,1.3017,1.3017,1.3017,1.3017
AUD,1.3082,1.3082,1.3082,1.3082,1.3082,1.3082,1.3082
8GM,1.3147,1.3147,1.3147,1.3147,1.3147,1.3147,1.3147
QFZ,1.3213,1.3213,1.3213,1.3213,1.3213,1.3213,1.3213
OXM,1.3279,1.3279,1.3279,1.3279,1.3279,1.3279,1.3279
OD0,1.3345,1.3345,1.3345,1.3345,1.3345,1.3345,1.3345
V4E,1.3412,1.3412,1.3412,1.3412,1.3412,1.3412,1.3412
JZF,1.3478,1.3478,1.3478,1.3478,1.3478,1.3478,1.3478
4NY,1.3546,1.3546,1.3546,1.3546,1.3546,1.3546,1.3546
2NG,1.3613,1.3613,1.3613,1.3613,1.3613,1.3613,1.3613
2TE,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681
565,1.3749,1.3749,1.3749,1.3749,1.3749,1.3749,1.3749
GV1,1.3818,1.3818,1.3818,1.3818,1.3818,1.3818,1.3818
KJL,1.3887,1.3887,1.3887,1.3887,1.3887,1.3887,1.3887
ISP,1.3956,1.3956,1.3956,1.3956,1.3956,1.3956,1.3956
VKJ,1.4026,1.4026,1.4026,1.4026,1.4026,1.4026,1.4026
ATX,1.4096,1.4096,1.4096,1.4096,1.4096,1.4096,1.4096
2NY,1.4166,1.4166,1.4166,1.4166,1.4166,1.4166,1.4166
Z3S,1.4237,1.4237,1.4237,1.4237,1.4237,1.4237,1.4237
KRN,1.4308,1.4308,1.4308,1.4308,1.4308,1.4308,1.4308
NBH,1.4379,1.4379,1.4379,1.4379,1.4379,1.4379,1.4379
D9I,1.4451,1.4451,1.4451,1.4451,1.4451,1.4451,1.4451
SEO,1.4523,1.4523,1.4523,1.4523,1.4523,1.4523,1.4523
VEN,1.4595,1.4595,1.4595,1.4595,1.4595,1.4595,1.4595
3VT,1.4668,1.4668,1.4668,1.4668,1.4668,1.4668,1.4668
TE2,1.4741,1.4741,1.4741,1.4741,1.4741,1.4741,1.4741
CLM,1.4815,1.4815,1.4815,1.4815,1.4815,1.4815,1.4815
6G1,1.4889,1.4889,1.4889,1.4889,1.4889,1.4889,1.4889
PDX,1.4963,1.4963,1.4963,1.4963,1.4963,1.4963,1.4963
FZE,1.5038,1.5038,1.5038,1.5038,1.5038,1.5038,1.5038
NBL,1.5113,1.5113,1.5113,1.5113,1.5113,1.5113,1.5113
3DK,1.5188,1.5188,1.5188,1.5188,1.5188,1.5188,1.5188
4NJ,1.5264,1.5264,1.5264,1.5264,1.5264,1.5264,1.5264
3G8,1.5340,1.5340,1.5340,1.5340,1.5340,1.5340,1.5340
QZ9,1.5416,1.5416,1.5416,1.5416,1.5416,1.5416,1.5416
RLN,1.5493,1.5493,1.5493,1.5493,1.5493,1.5493,1.5493
1YU,1.5570,1.5570,1.5570,1.5570,1.5570,1.5570,1.5570
RE1,1.5648,1.5648,1.5648,1.5648,1.5648,1.5648,1.5648
62U,1.5726,1.5726,1.5726,1.5726,1.5726,1.5726,1.5726
JJQ,1.5805,1.5805,1.5805,1.5805,1.5805,1.5805,1.5805
U89,1.5883,1.5883,1.5883,1.5883,1.5883,1.5883,1.5883
9LF,1.5963,1.5963,1.5963,1.5963,1.5963,1.5963,1.5963
M13,1.6042,1.6042,1.6042,1.6042,1.6042,1.6042,1.6042
I2I,1.6122,1.6122,1.6122,1.6122,1.6122,1.6122,1.6122
J49,1.6203,1.6203,1.6203,1.6203,1.6203,1.6203,1.6203
OMQ,1.6283,1.6283,1.6283,1.6283,1.6283,1.6283,1.6283
VZA,1.6365,1.6365,1.6365,1.6365,1.6365,1.6365,1.6365
7PL,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446
J42,1.6528,1.6528,1.6528,1.6528,1.6528,1.6528,1.6528
Z8H,1.6611,1.6611,1.6611,1.6611,1.6611,1.6611,1.6611
1YP,1.6694,1.6694,1.6694,1.6694,1.6694,1.6694,1.6694
8BE,1.6777,1.6777,1.6777,1.6777,1.6777,1.6777,1.6777
A8B,1.6861,1.6861,1.6861,1.6861,1.6861,1.6861,1.6861
QNM,1.6945,1.6945,1.6945,1.6945,1.6945,1.6945,1.6945
20G,1.7029,1.7029,1.7029,1.7029,1.7029,1.7029,1.7029
9LH,1.7114,1.7114,1.7114,1.7114,1.7114,1.7114,1.7114
T5Y,1.7199,1.7199,1.7199,1.7199,1.7199,1.7199,1.7199
NE1,1.7285,1.7285,1.7285,1.7285,1.7285,1.7285,1.7285
IWK,1.7371,1.7371,1.7371,1.7371,1.7371,1.7371,1.7371
R2O,1.7458,1.7458,1.7458,1.7458,1.7458,1.7458,1.7458
GOY,1.7545,1.7545,1.7545,1.7545,1.7545,1.7545,1.7545
GQK,1.7633,1.7633,1.7633,1.7633,1.7633,1.7633,1.7633
DHT,1.7721,1.7721,1.7721,1.7721,1.7721,1.7721,1.7721
FHH,1.7809,1.7809,1.7809,1.7809,1.7809,1.7809,1.7809
JY8,1.7898,1.7898,1.7898,1.7898,1.7898,1.7898,1.7898
EIW,1.7987,1.7987,1.7987,1.7987,1.7987,1.7987,1.7987
BP6,1.8077,1.8077,1.8077,1.8077,1.8077,1.8077,1.8077
BPK,1.8167,1.8167,1.8167,1.8167,1.8167,1.8167,1.8167
H6R,1.8258,1.8258,1.8258,1.8258,1.8258,1.8258,1.8258
CEO,1.8349,1.8349,1.8349,1.8349,1.8349,1.8349,1.8349
HSF,1.8440,1.8440,1.8440,1.8440,1.8440,1.8440,1.8440
552,1.8532,1.8532,1.8532,1.8532,1.8532,1.8532,1.8532
RIB,1.8625,1.8625,1.8625,1.8625,1.8625,1.8625,1.8625
T6N,1.8717,1.8717,1.8717,1.8717,1.8717,1.8717,1.8717
LDV,1.8811,1.8811,1.8811,1.8811,1.8811,1.8811,1.8811
B4B,1.8905,1.8905,1.8905,1.8905,1.8905,1.8905,1.8905
TNZ,1.8999,1.8999,1.8999,1.8999,1.8999,1.8999,1.8999
065,1.9094,1.9094,1.9094,1.9094,1.9094,1.9094,1.9094
KNP,1.9189,1.9189,1.9189,1.9189,1.9189,1.9189,1.9189
CVD,1.9285,1.9285,1.9285,1.9285,1.9285,1.9285,1.9285
SYJ,1.9381,1.9381,1.9381,1.9381,1.9381,1.9381,1.9381
QCH,1.9477,1.9477,1.9477,1.9477,1.9477,1.9477,1.9477
920,1.9575,1.9575,1.9575,1.9575,1.9575,1.9575,1.9575
1PV,1.9672,1.9672,1.9672,1.9672,1.9672,1.9672,1.9672
VZZ,1.9770,1.9770,1.9770,1.9770,1.9770,1.9770,1.9770
CAF,1.9869,1.9869,1.9869,1.9869,1.9869,1.9869,1.9869
RGW,1.9968,1.9968,1.9968,1.9968,1.9968,1.9968,1.9968
C0J,2.0068,2.0068,2.0068,2.0068,2.0068,2.0068,2.0068
5ED,2.0168,2.0168,2.0168,2.0168,2.0168,2.0168,2.0168
6W8,2.0268,2.0268,2.0268,2.0268,2.0268,2.0268,2.0268
Q2M,2.0369,2.0369,2.0369,2.0369,2.0369,2.0369,2.0369
F5Q,2.0471,2.0471,2.0471,2.0471,2.0471,2.0471,2.0471
H88,2.0573,2.0573,2.0573,2.0573,2.0573,2.0573,2.0573
953,2.0676,2.0676,2.0676,2.0676,2.0676,2.0676,2.0676
9VW,2.0779,2.0779,2.0779,2.0779,2.0779,2.0779,2.0779
NCJ,2.0882,2.0882,2.0882,2.0882,2.0882,2.0882,2.0882
G7U,2.0987,2.0987,2.0987,2.0987,2.0987,2.0987,2.0987
FX3,2.1091,2.1091,2.1091,2.1091,2.1091,2.1091,2.1091
95A,2.1196,2.1196,2.1196,2.1196,2.1196,2.1196,2.1196
2VV,2.1302,2.1302,2.1302,2.1302,2.1302,2.1302,2.1302
V55,2.1408,2.1408,2.1408,2.1408,2.1408,2.1408,2.1408
61N,2.1515,2.1515,2.1515,2.1515,2.1515,2.1515,2.1515
YKX,2.1623,2.1623,2.1623,2.1623,2.1623,2.1623,2.1623
AB8,2.1730,2.1730,2.1730,2.1730,2.1730,2.1730,2.1730
8X5,2.1839,2.1839,2.1839,2.1839,2.1839,2.1839,2.1839
PJX,2.1948,2.1948,2.1948,2.1948,2.1948,2.1948,2.1948
4QK,2.2057,2.2057,2.2057,2.2057,2.2057,2.2057,2.2057
EJM,2.2167,2.2167,2.2167,2.2167,2.2167,2.2167,2.2167
5E3,2.2278,2.2278,2.2278,2.2278,2.2278,2.2278,2.2278
FXY,2.2389,2.2389,2.2389,2.2389,2.2389,2.2389,2.2389
2G1,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500
083,2.2613,2.2613,2.2613,2.2613,2.2613,2.2613,2.2613
6VS,2.2725,2.2725,2.2725,2.2725,2.2725,2.2725,2.2725
YOD,2.2839,2.2839,2.2839,2.2839,2.2839,2.2839,2.2839
3GV,2.2953,2.2953,2.2953,2.2953,2.2953,2.2953,2.2953
1QI,2.3067,2.3067,2.3067,2.3067,2.3067,2.3067,2.3067
FSU,2.3182,2.3182,2.3182,2.3182,2.3182,2.3182,2.3182
HXM,2.3298,2.3298,2.3298,2.3298,2.3298,2.3298,2.3298
UF3,2.3414,2.3414,2.3414,2.3414,2.3414,2.3414,2.3414
QR0,2.3531,2.3531,2.3531,2.3531,2.3531,2.3531,2.3531
TX6,2.3648,2.3648,2.3648,2.3648,2.3648,2.3648,2.3648
FPW,2.3766,2.3766,2.3766,2.3766,2.3766,2.3766,2.3766
637,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885,2.3885
FRM,2.4004,2.4004,2.4004,2.4004,2.4004,2.4004,2.4004
ZTZ,2.4124,2.4124,2.4124,2.4124,2.4124,2.4124,2.4124
7A9,2.4244,2.4244,2.4244,2.4244,2.4244,2.4244,2.4244
GVU,2.4365,2.4365,2.4365,2.4365,2.4365,2.4365,2.4365
ON2,2.4486,2.4486,2.4486,2.4486,2.4486,2.4486,2.4486
UFA,2.4608,2.4608,2.4608,2.4608,2.4608,2.4608,2.4608
W4I,2.4731,2.4731,2.4731,2.4731,2.4731,2.4731,2.4731
PE7,2.4855,2.4855,2.4855,2.4855,2.4855,2.4855,2.4855
5BN,2.4979,2.4979,2.4979,2.4979,2.4979,2.4979,2.4979
5SP,2.5103,2.5103,2.5103,2.5103,2.5103,2.5103,2.5103
O0I,2.5228,2.5228,2.5228,2.5228,2.5228,2.5228,2.5228
0E9,2.5354,2.5354,2.5354,2.5354,2.5354,2.5354,2.5354
7FM,2.5481,2.5481,2.5481,2.5481,2.5481,2.5481,2.5481
MKW,2.5608,2.5608,2.5608,2.5608,2.5608,2.5608,2.5608
AX2,2.5735,2.5735,2.5735,2.5735,2.5735,2.5735,2.5735
XV8,2.5864,2.5864,2.5864,2.5864,2.5864,2.5864,2.5864
ZG0,2.5993,2.5993,2.5993,2.5993,2.5993,2.5993,2.5993
IR3,2.6122,2.6122,2.6122,2.6122,2.6122,2.6122,2.6122
RJE,2.6253,2.6253,2.6253,2.6253,2.6253,2.6253,2.6253
UTA,2.6384,2.6384,2.6384,2.6384,2.6384,2.6384,2.6384
VU8,2.6515,2.6515,2.6515,2.6515,2.6515,2.6515,2.6515
I8J,2.6647,2.6647,2.6647,2.6647,2.6647,2.6647,2.6647
W8K,2.6780,2.6780,2.6780,2.6780,2.6780,2.6780,2.6780
XVN,2.6914,2.6914,2.6914,2.6914,2.6914,2.6914,2.6914
9BF,2.7048,2.7048,2.7048,2.7048,2.7048,2.7048,2.7048
Z0Z,2.7183,2.7183,2.7183,2.7183,2.7183,2.7183,2.7183
9JF,2.7319,2.7319,2.7319,2.7319,2.7319,2.7319,2.7319
C1Z,2.7455,2.7455,2.7455,2.7455,2.7455,2.7455,2.7455
6DI,2.7592,2.7592,2.7592,2.7592,2.7592,2.7592,2.7592
C1V,2.7729,2.7729,2.7729,2.7729,2.7729,2.7729,2.7729
6DO,2.7868,2.7868,2.7868,2.7868,2.7868,2.7868,2.7868
6DN,2.8007,2.8007,2.8007,2.8007,2.8007,2.8007,2.8007
EPI,2.8146,2.8146,2.8146,2.8146,2.8146,2.8146,2.8146
BOD,2.8287,2.8287,2.8287,2.8287,2.8287,2.8287,2.8287
YV2,2.8428,2.8428,2.8428,2.8428,2.8428,2.8428,2.8428
YV3,2.8570,2.8570,2.8570,2.8570,2.8570,2.8570,2.8570
R8A,2.8712,2.8712,2.8712,2.8712,2.8712,2.8712,2.8712
VVQ,2.8855,2.8855,2.8855,2.8855,2.8855,2.8855,2.8855
MRA,2.8999,2.8999,2.8999,2.8999,2.8999,2.8999,2.8999
SXQ,2.9144,2.9144,2.9144,2.9144,2.9144,2.9144,2.9144
NKE,2.9289,2.9289,2.9289,2.9289,2.9289,2.9289,2.9289
J5B,2.9435,2.9435,2.9435,2.9435,2.9435,2.9435,2.9435
0WW,2.9582,2.9582,2.9582,2.9582,2.9582,2.9582,2.9582
GWS,2.9730,2.9730,2.9730,2.9730,2.9730,2.9730,2.9730
VV6,2.9878,2.9878,2.9878,2.9878,2.9878,2.9878,2.9878
SX9,3.0027,3.0027,3.0027,3.0027,3.0027,3.0027,3.0027
SVU,3.0177,3.0177,3.0177,3.0177,3.0177,3.0177,3.0177
21W,3.0327,3.0327,3.0327,3.0327,3.0327,3.0327,3.0327
NKL,3.0479,3.0479,3.0479,3.0479,3.0479,3.0479,3.0479
S5O,3.0631,3.0631,3.0631,3.0631,3.0631,3.0631,3.0631
KGA,3.0783,3.0783,3.0783,3.0783,3.0783,3.0783,3.0783
1GU,3.0937,3.0937,3.0937,3.0937,3.0937,3.0937,3.0937
Y99,3.1091,3.1091,3.1091,3.1091,3.1091,3.1091,3.1091
KGF,3.1246,3.1246,3.1246,3.1246,3.1246,3.1246,3.1246
1GD,3.1402,3.1402,3.1402,3.1402,3.1402,3.1402,3.1402
PEI,3.1559,3.1559,3.1559,3.1559,3.1559,3.1559,3.1559
VDR,3.1716,3.1716,3.1716,3.1716,3.1716,3.1716,3.1716
I8S,3.1874,3.1874,3.1874,3.1874,3.1874,3.1874,3.1874
FLR,3.2033,3.2033,3.2033,3.2033,3.2033,3.2033,3.2033
LKB,3.2193,3.2193,3.2193,3.2193,3.2193,3.2193,3.2193
R6N,3.2354,3.2354,3.2354,3.2354,3.2354,3.2354,3.2354
R24,3.2515,3.2515,3.2515,3.2515,3.2515,3.2515,3.2515
84O,3.2677,3.2677,3.2677,3.2677,3.2677,3.2677,3.2677
84M,3.2840,3.2840,3.2840,3.2840,3.2840,3.2840,3.2840
KC9,3.3004,3.3004,3.3004,3.3004,3.3004,3.3004,3.3004
PAP,3.3168,3.3168,3.3168,3.3168,3.3168,3.3168,3.3168
ZQQ,3.3334,3.3334,3.3334,3.3334,3.3334,3.3334,3.3334
W3O,3.3500,3.3500,3.3500,3.3500,3.3500,3.3500,3.3500
WVH,3.3667,3.3667,3.3667,3.3667,3.3667,3.3667,3.3667
LA4,3.3835,3.3835,3.3835,3.3835,3.3835,3.3835,3.3835
WLF,3.4004,3.4004,3.4004,3.4004,3.4004,3.4004,3.4004
71F,3.4174,3.4174,3.4174,3.4174,3.4174,3.4174,3.4174
WV8,3.4344,3.4344,3.4344,3.4344,3.4344,3.4344,3.4344
1UD,3.4515,3.4515,3.4515,3.4515,3.4515,3.4515,3.4515
1UF,3.4687,3.4687,3.4687,3.4687,3.4687,3.4687,3.4687
W38,3.4860,3.4860,3.4860,3.4860,3.4860,3.4860,3.4860
8T8,3.5034,3.5034,3.5034,3.5034,3.5034,3.5034,3.5034
TRU,3.5209,3.5209,3.5209,3.5209,3.5209,3.5209,3.5209
FL8,3.5385,3.5385,3.5385,3.5385,3.5385,3.5385,3.5385
KCC,3.5561,3.5561,3.5561,3.5561,3.5561,3.5561,3.5561
840,3.5738,3.5738,3.5738,3.5738,3.5738,3.5738,3.5738
YJ7,3.5917,3.5917,3.5917,3.5917,3.5917,3.5917,3.5917
8WA,3.6096,3.6096,3.6096,3.6096,3.6096,3.6096,3.6096
P4J,3.6276,3.6276,3.6276,3.6276,3.6276,3.6276,3.6276
9U5,3.6457,3.6457,3.6457,3.6457,3.6457,3.6457,3.6457
OZ6,3.6639,3.6639,3.6639,3.6639,3.6639,3.6639,3.6639
EHV,3.6821,3.6821,3.6821,3.6821,3.6821,3.6821,3.6821
8KB,3.7005,3.7005,3.7005,3.7005,3.7005,3.7005,3.7005
8KC,3.7190,3.7190,3.7190,3.7190,3.7190,3.7190,3.7190
